iter	Passed	Remaining
0	58	58665
1	59	29511
2	59	19774
3	59	14913
4	60	11994
5	60	10050
6	61	8672
7	61	7639
8	61	6822
9	62	6171
10	62	5637
11	63	5193
12	63	4815
13	63	4495
14	64	4216
15	64	3972
16	64	3755
17	65	3565
18	65	3393
19	66	3237
20	66	3096
21	66	2969
22	67	2852
23	67	2748
24	67	2649
25	68	2559
26	68	2474
27	69	2404
28	69	2331
29	70	2263
30	70	2199
31	70	2139
32	71	2082
33	71	2030
34	71	1979
35	72	1932
36	72	1888
37	72	1847
38	73	1807
39	73	1769
40	74	1734
41	74	1698
42	74	1665
43	75	1634
44	75	1603
45	75	1574
46	76	1546
47	76	1519
48	77	1494
49	77	1470
50	77	1447
51	78	1423
52	78	1401
53	78	1381
54	79	1360
55	79	1341
56	79	1322
57	80	1304
58	80	1287
59	81	1270
60	81	1253
61	81	1238
62	82	1222
63	82	1207
64	82	1192
65	83	1178
66	83	1164
67	84	1154
68	84	1141
69	84	1128
70	85	1115
71	85	1104
72	86	1092
73	86	1080
74	86	1070
75	87	1059
76	87	1048
77	87	1038
78	88	1028
79	88	1018
80	88	1008
81	89	999
82	89	988
83	89	979
84	90	970
85	90	962
86	90	954
87	91	946
88	91	938
89	92	930
90	92	923
91	92	915
92	93	908
93	93	901
94	93	894
95	94	887
96	94	880
97	94	873
98	95	867
99	95	860
100	95	854
101	96	848
102	96	842
103	97	836
104	97	830
105	97	824
106	98	819
107	98	813
108	98	808
109	99	805
110	99	800
111	100	795
112	100	790
113	101	785
114	102	785
115	102	780
116	102	774
117	103	770
118	103	765
119	103	761
120	104	756
121	104	751
122	104	746
123	105	742
124	105	738
125	105	734
126	106	729
127	106	726
128	106	722
129	107	718
130	107	714
131	108	710
132	108	706
133	108	702
134	109	698
135	109	695
136	109	691
137	110	688
138	110	684
139	110	681
140	111	677
141	111	673
142	111	670
143	112	667
144	112	663
145	112	660
146	113	657
147	113	654
148	114	652
149	114	649
150	114	646
151	115	643
152	115	640
153	116	637
154	116	634
155	116	632
156	117	629
157	117	626
158	117	623
159	118	620
160	118	617
161	118	614
162	119	612
163	119	609
164	119	606
165	120	604
166	120	601
167	120	599
168	121	596
169	121	594
170	122	591
171	122	589
172	122	587
173	123	584
174	123	582
175	123	580
176	124	577
177	124	575
178	125	573
179	125	571
180	125	569
181	126	566
182	126	564
183	126	562
184	127	560
185	127	558
186	127	556
187	128	554
188	128	551
189	128	549
190	129	547
191	129	545
192	130	543
193	130	542
194	130	540
195	131	538
196	131	536
197	131	534
198	132	532
199	132	530
200	132	528
201	133	526
202	133	524
203	134	522
204	134	521
205	134	519
206	135	517
207	135	515
208	135	514
